,Survived,Sex,Age,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,FamilySize
90,0,1,29.0,0,0,1,0,0,1,1
91,0,1,20.0,0,0,1,0,0,1,1
92,0,1,46.0,1,0,0,0,0,1,2
93,0,1,26.0,0,0,1,0,0,1,4
94,0,1,59.0,0,0,1,0,0,1,1
95,0,1,29.69911764705882,0,0,1,0,0,1,1
96,0,1,71.0,1,0,0,1,0,0,1
97,1,1,23.0,1,0,0,1,0,0,2
98,1,0,34.0,0,1,0,0,0,1,2
99,0,1,34.0,0,1,0,0,0,1,2
100,0,0,28.0,0,0,1,0,0,1,1
101,0,1,29.69911764705882,0,0,1,0,0,1,1
102,0,1,21.0,1,0,0,0,0,1,2
103,0,1,33.0,0,0,1,0,0,1,1
104,0,1,37.0,0,0,1,0,0,1,3
105,0,1,28.0,0,0,1,0,0,1,1
106,1,0,21.0,0,0,1,0,0,1,1
107,1,1,29.69911764705882,0,0,1,0,0,1,1
108,0,1,38.0,0,0,1,0,0,1,1
109,1,0,29.69911764705882,0,0,1,0,1,0,2
110,0,1,47.0,1,0,0,0,0,1,1
111,0,0,14.5,0,0,1,1,0,0,2
112,0,1,22.0,0,0,1,0,0,1,1
113,0,0,20.0,0,0,1,0,0,1,2
114,0,0,17.0,0,0,1,1,0,0,1
115,0,1,21.0,0,0,1,0,0,1,1
116,0,1,70.5,0,0,1,0,1,0,1
117,0,1,29.0,0,1,0,0,0,1,2
118,0,1,24.0,1,0,0,1,0,0,2
119,0,0,2.0,0,0,1,0,0,1,7
120,0,1,21.0,0,1,0,0,0,1,3
121,0,1,29.69911764705882,0,0,1,0,0,1,1
122,0,1,32.5,0,1,0,1,0,0,2
123,1,0,32.5,0,1,0,0,0,1,1
124,0,1,54.0,1,0,0,0,0,1,2
125,1,1,12.0,0,0,1,1,0,0,2
126,0,1,29.69911764705882,0,0,1,0,1,0,1
127,1,1,24.0,0,0,1,0,0,1,1
128,1,0,29.69911764705882,0,0,1,1,0,0,3
129,0,1,45.0,0,0,1,0,0,1,1
130,0,1,33.0,0,0,1,1,0,0,1
131,0,1,20.0,0,0,1,0,0,1,1
132,0,0,47.0,0,0,1,0,0,1,2
133,1,0,29.0,0,1,0,0,0,1,2
134,0,1,25.0,0,1,0,0,0,1,1
135,0,1,23.0,0,1,0,1,0,0,1
136,1,0,19.0,1,0,0,0,0,1,3
137,0,1,37.0,1,0,0,0,0,1,2
138,0,1,16.0,0,0,1,0,0,1,1
139,0,1,24.0,1,0,0,1,0,0,1
140,0,0,29.69911764705882,0,0,1,1,0,0,3
141,1,0,22.0,0,0,1,0,0,1,1
142,1,0,24.0,0,0,1,0,0,1,2
143,0,1,19.0,0,0,1,0,1,0,1
144,0,1,18.0,0,1,0,0,0,1,1
145,0,1,19.0,0,1,0,0,0,1,3
146,1,1,27.0,0,0,1,0,0,1,1
147,0,0,9.0,0,0,1,0,0,1,5
148,0,1,36.5,0,1,0,0,0,1,3
149,0,1,42.0,0,1,0,0,0,1,1
150,0,1,51.0,0,1,0,0,0,1,1
151,1,0,22.0,1,0,0,0,0,1,2
152,0,1,55.5,0,0,1,0,0,1,1
153,0,1,40.5,0,0,1,0,0,1,3
154,0,1,29.69911764705882,0,0,1,0,0,1,1
155,0,1,51.0,1,0,0,1,0,0,2
156,1,0,16.0,0,0,1,0,1,0,1
157,0,1,30.0,0,0,1,0,0,1,1
158,0,1,29.69911764705882,0,0,1,0,0,1,1
159,0,1,29.69911764705882,0,0,1,0,0,1,11
160,0,1,44.0,0,0,1,0,0,1,2
161,1,0,40.0,0,1,0,0,0,1,1
162,0,1,26.0,0,0,1,0,0,1,1
163,0,1,17.0,0,0,1,0,0,1,1
164,0,1,1.0,0,0,1,0,0,1,6
165,1,1,9.0,0,0,1,0,0,1,3
166,1,0,29.69911764705882,1,0,0,0,0,1,2
167,0,0,45.0,0,0,1,0,0,1,6
168,0,1,29.69911764705882,1,0,0,0,0,1,1
169,0,1,28.0,0,0,1,0,0,1,1
170,0,1,61.0,1,0,0,0,0,1,1
171,0,1,4.0,0,0,1,0,1,0,6
172,1,0,1.0,0,0,1,0,0,1,3
173,0,1,21.0,0,0,1,0,0,1,1
174,0,1,56.0,1,0,0,1,0,0,1
175,0,1,18.0,0,0,1,0,0,1,3
176,0,1,29.69911764705882,0,0,1,0,0,1,5
177,0,0,50.0,1,0,0,1,0,0,1
178,0,1,30.0,0,1,0,0,0,1,1
179,0,1,36.0,0,0,1,0,0,1,1
180,0,0,29.69911764705882,0,0,1,0,0,1,11
181,0,1,29.69911764705882,0,1,0,1,0,0,1
182,0,1,9.0,0,0,1,0,0,1,7
183,1,1,1.0,0,1,0,0,0,1,4
184,1,0,4.0,0,0,1,0,0,1,3
185,0,1,29.69911764705882,1,0,0,0,0,1,1
186,1,0,29.69911764705882,0,0,1,0,1,0,2
187,1,1,45.0,1,0,0,0,0,1,1
188,0,1,40.0,0,0,1,0,1,0,3
189,0,1,36.0,0,0,1,0,0,1,1
190,1,0,32.0,0,1,0,0,0,1,1
191,0,1,19.0,0,1,0,0,0,1,1
192,1,0,19.0,0,0,1,0,0,1,2
193,1,1,3.0,0,1,0,0,0,1,3
194,1,0,44.0,1,0,0,1,0,0,1
195,1,0,58.0,1,0,0,1,0,0,1
196,0,1,29.69911764705882,0,0,1,0,1,0,1
197,0,1,42.0,0,0,1,0,0,1,2
198,1,0,29.69911764705882,0,0,1,0,1,0,1
199,0,0,24.0,0,1,0,0,0,1,1
200,0,1,28.0,0,0,1,0,0,1,1
201,0,1,29.69911764705882,0,0,1,0,0,1,11
202,0,1,34.0,0,0,1,0,0,1,1
203,0,1,45.5,0,0,1,1,0,0,1
204,1,1,18.0,0,0,1,0,0,1,1
205,0,0,2.0,0,0,1,0,0,1,2
206,0,1,32.0,0,0,1,0,0,1,2
207,1,1,26.0,0,0,1,1,0,0,1
208,1,0,16.0,0,0,1,0,1,0,1
209,1,1,40.0,1,0,0,1,0,0,1
210,0,1,24.0,0,0,1,0,0,1,1
211,1,0,35.0,0,1,0,0,0,1,1
212,0,1,22.0,0,0,1,0,0,1,1
213,0,1,30.0,0,1,0,0,0,1,1
214,0,1,29.69911764705882,0,0,1,0,1,0,2
215,1,0,31.0,1,0,0,1,0,0,2
216,1,0,27.0,0,0,1,0,0,1,1
217,0,1,42.0,0,1,0,0,0,1,2
218,1,0,32.0,1,0,0,1,0,0,1
219,0,1,30.0,0,1,0,0,0,1,1
220,1,1,16.0,0,0,1,0,0,1,1
221,0,1,27.0,0,1,0,0,0,1,1
222,0,1,51.0,0,0,1,0,0,1,1
223,0,1,29.69911764705882,0,0,1,0,0,1,1
224,1,1,38.0,1,0,0,0,0,1,2
225,0,1,22.0,0,0,1,0,0,1,1
226,1,1,19.0,0,1,0,0,0,1,1
227,0,1,20.5,0,0,1,0,0,1,1
228,0,1,18.0,0,1,0,0,0,1,1
229,0,0,29.69911764705882,0,0,1,0,0,1,5
230,1,0,35.0,1,0,0,0,0,1,2
231,0,1,29.0,0,0,1,0,0,1,1
232,0,1,59.0,0,1,0,0,0,1,1
233,1,0,5.0,0,0,1,0,0,1,7
234,0,1,24.0,0,1,0,0,0,1,1
235,0,0,29.69911764705882,0,0,1,0,0,1,1
236,0,1,44.0,0,1,0,0,0,1,2
237,1,0,8.0,0,1,0,0,0,1,3
238,0,1,19.0,0,1,0,0,0,1,1
239,0,1,33.0,0,1,0,0,0,1,1
240,0,0,29.69911764705882,0,0,1,1,0,0,2
241,1,0,29.69911764705882,0,0,1,0,1,0,2
242,0,1,29.0,0,1,0,0,0,1,1
243,0,1,22.0,0,0,1,0,0,1,1
244,0,1,30.0,0,0,1,1,0,0,1
245,0,1,44.0,1,0,0,0,1,0,3
246,0,0,25.0,0,0,1,0,0,1,1
247,1,0,24.0,0,1,0,0,0,1,3
248,1,1,37.0,1,0,0,0,0,1,3
249,0,1,54.0,0,1,0,0,0,1,2
250,0,1,29.69911764705882,0,0,1,0,0,1,1
251,0,0,29.0,0,0,1,0,0,1,3
252,0,1,62.0,1,0,0,0,0,1,1
253,0,1,30.0,0,0,1,0,0,1,2
254,0,0,41.0,0,0,1,0,0,1,3
255,1,0,29.0,0,0,1,1,0,0,3
256,1,0,29.69911764705882,1,0,0,1,0,0,1
257,1,0,30.0,1,0,0,0,0,1,1
258,1,0,35.0,1,0,0,1,0,0,1
259,1,0,50.0,0,1,0,0,0,1,2
260,0,1,29.69911764705882,0,0,1,0,1,0,1
261,1,1,3.0,0,0,1,0,0,1,7
262,0,1,52.0,1,0,0,0,0,1,3
263,0,1,40.0,1,0,0,0,0,1,1
264,0,0,29.69911764705882,0,0,1,0,1,0,1
265,0,1,36.0,0,1,0,0,0,1,1
266,0,1,16.0,0,0,1,0,0,1,6
267,1,1,25.0,0,0,1,0,0,1,2
268,1,0,58.0,1,0,0,0,0,1,2
269,1,0,35.0,1,0,0,0,0,1,1
270,0,1,29.69911764705882,1,0,0,0,0,1,1
271,1,1,25.0,0,0,1,0,0,1,1
272,1,0,41.0,0,1,0,0,0,1,2
273,0,1,37.0,1,0,0,1,0,0,2
274,1,0,29.69911764705882,0,0,1,0,1,0,1
275,1,0,63.0,1,0,0,0,0,1,2
276,0,0,45.0,0,0,1,0,0,1,1
277,0,1,29.69911764705882,0,1,0,0,0,1,1
278,0,1,7.0,0,0,1,0,1,0,6
279,1,0,35.0,0,0,1,0,0,1,3
280,0,1,65.0,0,0,1,0,1,0,1
281,0,1,28.0,0,0,1,0,0,1,1
282,0,1,16.0,0,0,1,0,0,1,1
283,1,1,19.0,0,0,1,0,0,1,1
284,0,1,29.69911764705882,1,0,0,0,0,1,1
285,0,1,33.0,0,0,1,1,0,0,1
286,1,1,30.0,0,0,1,0,0,1,1
287,0,1,22.0,0,0,1,0,0,1,1
288,1,1,42.0,0,1,0,0,0,1,1
289,1,0,22.0,0,0,1,0,1,0,1
290,1,0,26.0,1,0,0,0,0,1,1
291,1,0,19.0,1,0,0,1,0,0,2
292,0,1,36.0,0,1,0,1,0,0,1
293,0,0,24.0,0,0,1,0,0,1,1
294,0,1,24.0,0,0,1,0,0,1,1
295,0,1,29.69911764705882,1,0,0,1,0,0,1
296,0,1,23.5,0,0,1,1,0,0,1
297,0,0,2.0,1,0,0,0,0,1,4
298,1,1,29.69911764705882,1,0,0,0,0,1,1
299,1,0,50.0,1,0,0,1,0,0,2
300,1,0,29.69911764705882,0,0,1,0,1,0,1
301,1,1,29.69911764705882,0,0,1,0,1,0,3
302,0,1,19.0,0,0,1,0,0,1,1
303,1,0,29.69911764705882,0,1,0,0,1,0,1
304,0,1,29.69911764705882,0,0,1,0,0,1,1
305,1,1,0.92,1,0,0,0,0,1,4
306,1,0,29.69911764705882,1,0,0,1,0,0,1
307,1,0,17.0,1,0,0,1,0,0,2
308,0,1,30.0,0,1,0,1,0,0,2
309,1,0,30.0,1,0,0,1,0,0,1
310,1,0,24.0,1,0,0,1,0,0,1
311,1,0,18.0,1,0,0,1,0,0,5
312,0,0,26.0,0,1,0,0,0,1,3
313,0,1,28.0,0,0,1,0,0,1,1
314,0,1,43.0,0,1,0,0,0,1,3
315,1,0,26.0,0,0,1,0,0,1,1
316,1,0,24.0,0,1,0,0,0,1,2
317,0,1,54.0,0,1,0,0,0,1,1
318,1,0,31.0,1,0,0,0,0,1,3
319,1,0,40.0,1,0,0,1,0,0,3
320,0,1,22.0,0,0,1,0,0,1,1
321,0,1,27.0,0,0,1,0,0,1,1
322,1,0,30.0,0,1,0,0,1,0,1
323,1,0,22.0,0,1,0,0,0,1,3
324,0,1,29.69911764705882,0,0,1,0,0,1,11
325,1,0,36.0,1,0,0,1,0,0,1
326,0,1,61.0,0,0,1,0,0,1,1
327,1,0,36.0,0,1,0,0,0,1,1
328,1,0,31.0,0,0,1,0,0,1,3
329,1,0,16.0,1,0,0,1,0,0,2
330,1,0,29.69911764705882,0,0,1,0,1,0,3
331,0,1,45.5,1,0,0,0,0,1,1
332,0,1,38.0,1,0,0,0,0,1,2
333,0,1,16.0,0,0,1,0,0,1,3
334,1,0,29.69911764705882,1,0,0,0,0,1,2
335,0,1,29.69911764705882,0,0,1,0,0,1,1
336,0,1,29.0,1,0,0,0,0,1,2
337,1,0,41.0,1,0,0,1,0,0,1
338,1,1,45.0,0,0,1,0,0,1,1
339,0,1,45.0,1,0,0,0,0,1,1
340,1,1,2.0,0,1,0,0,0,1,3
341,1,0,24.0,1,0,0,0,0,1,6
342,0,1,28.0,0,1,0,0,0,1,1
343,0,1,25.0,0,1,0,0,0,1,1
344,0,1,36.0,0,1,0,0,0,1,1
345,1,0,24.0,0,1,0,0,0,1,1
346,1,0,40.0,0,1,0,0,0,1,1
347,1,0,29.69911764705882,0,0,1,0,0,1,2
348,1,1,3.0,0,0,1,0,0,1,3
349,0,1,42.0,0,0,1,0,0,1,1
350,0,1,23.0,0,0,1,0,0,1,1
351,0,1,29.69911764705882,1,0,0,0,0,1,1
352,0,1,15.0,0,0,1,1,0,0,3
353,0,1,25.0,0,0,1,0,0,1,2
354,0,1,29.69911764705882,0,0,1,1,0,0,1
355,0,1,28.0,0,0,1,0,0,1,1
356,1,0,22.0,1,0,0,0,0,1,2
357,0,0,38.0,0,1,0,0,0,1,1
358,1,0,29.69911764705882,0,0,1,0,1,0,1
359,1,0,29.69911764705882,0,0,1,0,1,0,1
360,0,1,40.0,0,0,1,0,0,1,6
361,0,1,29.0,0,1,0,1,0,0,2
362,0,0,45.0,0,0,1,1,0,0,2
363,0,1,35.0,0,0,1,0,0,1,1
364,0,1,29.69911764705882,0,0,1,0,1,0,2
365,0,1,30.0,0,0,1,0,0,1,1
366,1,0,60.0,1,0,0,1,0,0,2
367,1,0,29.69911764705882,0,0,1,1,0,0,1
368,1,0,29.69911764705882,0,0,1,0,1,0,1
369,1,0,24.0,1,0,0,1,0,0,1
370,1,1,25.0,1,0,0,1,0,0,2
371,0,1,18.0,0,0,1,0,0,1,2
372,0,1,19.0,0,0,1,0,0,1,1
373,0,1,22.0,1,0,0,1,0,0,1
374,0,0,3.0,0,0,1,0,0,1,5
375,1,0,29.69911764705882,1,0,0,1,0,0,2
376,1,0,22.0,0,0,1,0,0,1,1
377,0,1,27.0,1,0,0,1,0,0,3
378,0,1,20.0,0,0,1,1,0,0,1
379,0,1,19.0,0,0,1,0,0,1,1
380,1,0,42.0,1,0,0,1,0,0,1
381,1,0,1.0,0,0,1,1,0,0,3
382,0,1,32.0,0,0,1,0,0,1,1
383,1,0,35.0,1,0,0,0,0,1,2
384,0,1,29.69911764705882,0,0,1,0,0,1,1
385,0,1,18.0,0,1,0,0,0,1,1
386,0,1,1.0,0,0,1,0,0,1,8
387,1,0,36.0,0,1,0,0,0,1,1
388,0,1,29.69911764705882,0,0,1,0,1,0,1
389,1,0,17.0,0,1,0,1,0,0,1
390,1,1,36.0,1,0,0,0,0,1,4
391,1,1,21.0,0,0,1,0,0,1,1
392,0,1,28.0,0,0,1,0,0,1,3
393,1,0,23.0,1,0,0,1,0,0,2
394,1,0,24.0,0,0,1,0,0,1,3
395,0,1,22.0,0,0,1,0,0,1,1
396,0,0,31.0,0,0,1,0,0,1,1
397,0,1,46.0,0,1,0,0,0,1,1
398,0,1,23.0,0,1,0,0,0,1,1
399,1,0,28.0,0,1,0,0,0,1,1
400,1,1,39.0,0,0,1,0,0,1,1
401,0,1,26.0,0,0,1,0,0,1,1
402,0,0,21.0,0,0,1,0,0,1,2
403,0,1,28.0,0,0,1,0,0,1,2
404,0,0,20.0,0,0,1,0,0,1,1
405,0,1,34.0,0,1,0,0,0,1,2
406,0,1,51.0,0,0,1,0,0,1,1
407,1,1,3.0,0,1,0,0,0,1,3
408,0,1,21.0,0,0,1,0,0,1,1
409,0,0,29.69911764705882,0,0,1,0,0,1,5
410,0,1,29.69911764705882,0,0,1,0,0,1,1
411,0,1,29.69911764705882,0,0,1,0,1,0,1
412,1,0,33.0,1,0,0,0,1,0,2
413,0,1,29.69911764705882,0,1,0,0,0,1,1
414,1,1,44.0,0,0,1,0,0,1,1
415,0,0,29.69911764705882,0,0,1,0,0,1,1
416,1,0,34.0,0,1,0,0,0,1,3
417,1,0,18.0,0,1,0,0,0,1,3
418,0,1,30.0,0,1,0,0,0,1,1
419,0,0,10.0,0,0,1,0,0,1,3
420,0,1,29.69911764705882,0,0,1,1,0,0,1
421,0,1,21.0,0,0,1,0,1,0,1
422,0,1,29.0,0,0,1,0,0,1,1
423,0,0,28.0,0,0,1,0,0,1,3
424,0,1,18.0,0,0,1,0,0,1,3
425,0,1,29.69911764705882,0,0,1,0,0,1,1
426,1,0,28.0,0,1,0,0,0,1,2
427,1,0,19.0,0,1,0,0,0,1,1
428,0,1,29.69911764705882,0,0,1,0,1,0,1
429,1,1,32.0,0,0,1,0,0,1,1
430,1,1,28.0,1,0,0,0,0,1,1
431,1,0,29.69911764705882,0,0,1,0,0,1,2
432,1,0,42.0,0,1,0,0,0,1,2
433,0,1,17.0,0,0,1,0,0,1,1
434,0,1,50.0,1,0,0,0,0,1,2
435,1,0,14.0,1,0,0,0,0,1,4
436,0,0,21.0,0,0,1,0,0,1,5
437,1,0,24.0,0,1,0,0,0,1,6
438,0,1,64.0,1,0,0,0,0,1,6
439,0,1,31.0,0,1,0,0,0,1,1
440,1,0,45.0,0,1,0,0,0,1,3
441,0,1,20.0,0,0,1,0,0,1,1
442,0,1,25.0,0,0,1,0,0,1,2
443,1,0,28.0,0,1,0,0,0,1,1
444,1,1,29.69911764705882,0,0,1,0,0,1,1
445,1,1,4.0,1,0,0,0,0,1,3
446,1,0,13.0,0,1,0,0,0,1,2
447,1,1,34.0,1,0,0,0,0,1,1
448,1,0,5.0,0,0,1,1,0,0,4
449,1,1,52.0,1,0,0,0,0,1,1
450,0,1,36.0,0,1,0,0,0,1,4
451,0,1,29.69911764705882,0,0,1,0,0,1,2
452,0,1,30.0,1,0,0,1,0,0,1
453,1,1,49.0,1,0,0,1,0,0,2
454,0,1,29.69911764705882,0,0,1,0,0,1,1
455,1,1,29.0,0,0,1,1,0,0,1
456,0,1,65.0,1,0,0,0,0,1,1
457,1,0,29.69911764705882,1,0,0,0,0,1,2
458,1,0,50.0,0,1,0,0,0,1,1
459,0,1,29.69911764705882,0,0,1,0,1,0,1
460,1,1,48.0,1,0,0,0,0,1,1
461,0,1,34.0,0,0,1,0,0,1,1
462,0,1,47.0,1,0,0,0,0,1,1
463,0,1,48.0,0,1,0,0,0,1,1
464,0,1,29.69911764705882,0,0,1,0,0,1,1
465,0,1,38.0,0,0,1,0,0,1,1
466,0,1,29.69911764705882,0,1,0,0,0,1,1
467,0,1,56.0,1,0,0,0,0,1,1
468,0,1,29.69911764705882,0,0,1,0,1,0,1
469,1,0,0.75,0,0,1,1,0,0,4
470,0,1,29.69911764705882,0,0,1,0,0,1,1
471,0,1,38.0,0,0,1,0,0,1,1
472,1,0,33.0,0,1,0,0,0,1,4
473,1,0,23.0,0,1,0,1,0,0,1
474,0,0,22.0,0,0,1,0,0,1,1
475,0,1,29.69911764705882,1,0,0,0,0,1,1
476,0,1,34.0,0,1,0,0,0,1,2
477,0,1,29.0,0,0,1,0,0,1,2
478,0,1,22.0,0,0,1,0,0,1,1
479,1,0,2.0,0,0,1,0,0,1,2
480,0,1,9.0,0,0,1,0,0,1,8
481,0,1,29.69911764705882,0,1,0,0,0,1,1
482,0,1,50.0,0,0,1,0,0,1,1
483,1,0,63.0,0,0,1,0,0,1,1
484,1,1,25.0,1,0,0,1,0,0,2
485,0,0,29.69911764705882,0,0,1,0,0,1,5
486,1,0,35.0,1,0,0,0,0,1,2
487,0,1,58.0,1,0,0,1,0,0,1
488,0,1,30.0,0,0,1,0,0,1,1
489,1,1,9.0,0,0,1,0,0,1,3
490,0,1,29.69911764705882,0,0,1,0,0,1,2
491,0,1,21.0,0,0,1,0,0,1,1
492,0,1,55.0,1,0,0,0,0,1,1
493,0,1,71.0,1,0,0,1,0,0,1
494,0,1,21.0,0,0,1,0,0,1,1
495,0,1,29.69911764705882,0,0,1,1,0,0,1
496,1,0,54.0,1,0,0,1,0,0,2
497,0,1,29.69911764705882,0,0,1,0,0,1,1
498,0,0,25.0,1,0,0,0,0,1,4
499,0,1,24.0,0,0,1,0,0,1,1
500,0,1,17.0,0,0,1,0,0,1,1
501,0,0,21.0,0,0,1,0,1,0,1
502,0,0,29.69911764705882,0,0,1,0,1,0,1
503,0,0,37.0,0,0,1,0,0,1,1
504,1,0,16.0,1,0,0,0,0,1,1
505,0,1,18.0,1,0,0,1,0,0,2
506,1,0,33.0,0,1,0,0,0,1,3
507,1,1,29.69911764705882,1,0,0,0,0,1,1
508,0,1,28.0,0,0,1,0,0,1,1
509,1,1,26.0,0,0,1,0,0,1,1
510,1,1,29.0,0,0,1,0,1,0,1
511,0,1,29.69911764705882,0,0,1,0,0,1,1
512,1,1,36.0,1,0,0,0,0,1,1
513,1,0,54.0,1,0,0,1,0,0,2
514,0,1,24.0,0,0,1,0,0,1,1
515,0,1,47.0,1,0,0,0,0,1,1
516,1,0,34.0,0,1,0,0,0,1,1
517,0,1,29.69911764705882,0,0,1,0,1,0,1
518,1,0,36.0,0,1,0,0,0,1,2
519,0,1,32.0,0,0,1,0,0,1,1
520,1,0,30.0,1,0,0,0,0,1,1
521,0,1,22.0,0,0,1,0,0,1,1
522,0,1,29.69911764705882,0,0,1,1,0,0,1
523,1,0,44.0,1,0,0,1,0,0,2
524,0,1,29.69911764705882,0,0,1,1,0,0,1
525,0,1,40.5,0,0,1,0,1,0,1
526,1,0,50.0,0,1,0,0,0,1,1
527,0,1,29.69911764705882,1,0,0,0,0,1,1
528,0,1,39.0,0,0,1,0,0,1,1
529,0,1,23.0,0,1,0,0,0,1,4
530,1,0,2.0,0,1,0,0,0,1,3
531,0,1,29.69911764705882,0,0,1,1,0,0,1
532,0,1,17.0,0,0,1,1,0,0,3
533,1,0,29.69911764705882,0,0,1,1,0,0,3
534,0,0,30.0,0,0,1,0,0,1,1
535,1,0,7.0,0,1,0,0,0,1,3
536,0,1,45.0,1,0,0,0,0,1,1
537,1,0,30.0,1,0,0,1,0,0,1
538,0,1,29.69911764705882,0,0,1,0,0,1,1
539,1,0,22.0,1,0,0,1,0,0,3
540,1,0,36.0,1,0,0,0,0,1,3
541,0,0,9.0,0,0,1,0,0,1,7
542,0,0,11.0,0,0,1,0,0,1,7
543,1,1,32.0,0,1,0,0,0,1,2
544,0,1,50.0,1,0,0,1,0,0,2
545,0,1,64.0,1,0,0,0,0,1,1
546,1,0,19.0,0,1,0,0,0,1,2
547,1,1,29.69911764705882,0,1,0,1,0,0,1
548,0,1,33.0,0,0,1,0,0,1,3
549,1,1,8.0,0,1,0,0,0,1,3
550,1,1,17.0,1,0,0,1,0,0,3
551,0,1,27.0,0,1,0,0,0,1,1
552,0,1,29.69911764705882,0,0,1,0,1,0,1
553,1,1,22.0,0,0,1,1,0,0,1
554,1,0,22.0,0,0,1,0,0,1,1
555,0,1,62.0,1,0,0,0,0,1,1
556,1,0,48.0,1,0,0,1,0,0,2
557,0,1,29.69911764705882,1,0,0,1,0,0,1
558,1,0,39.0,1,0,0,0,0,1,3
